e7e6 node 298, Score 0, alpha -15, beta 0
	b1d2 node 298, Score 0, alpha 0, beta 30000
a7a6 node 300, Score -25, alpha -30000, beta 0
a7a5 node 301, Score -25, alpha -25, beta 0
b7b6 node 302, Score -25, alpha -25, beta 0
b7b5 node 303, Score -25, alpha -25, beta 0
c7c6 node 304, Score -20, alpha -25, beta 0
c7c5 node 306, Score -20, alpha -20, beta 0
e7e6 node 307, Score -5, alpha -20, beta 0
e7e5 node 309, Score -5, alpha -5, beta 0
f7f6 node 310, Score -5, alpha -5, beta 0
f7f5 node 311, Score -5, alpha -5, beta 0
g7g6 node 312, Score -5, alpha -5, beta 0
g7g5 node 313, Score -5, alpha -5, beta 0
h7h6 node 314, Score -5, alpha -5, beta 0
h7h5 node 315, Score -5, alpha -5, beta 0
b8d7 node 316, Score -5, alpha -5, beta 0
b8c6 node 317, Score 0, alpha -5, beta 0
	g1f3 node 317, Score 0, alpha 0, beta 30000
a7a6 node 319, Score -15, alpha -30000, beta 0
a7a5 node 320, Score -15, alpha -15, beta 0
b7b6 node 321, Score -15, alpha -15, beta 0
b7b5 node 322, Score -15, alpha -15, beta 0
c7c6 node 323, Score -10, alpha -15, beta 0
c7c5 node 327, Score -10, alpha -10, beta 0
e7e6 node 328, Score 0, alpha -10, beta 0
	g1h3 node 328, Score 0, alpha 0, beta 30000
a7a6 node 330, Score -25, alpha -30000, beta 0
a7a5 node 331, Score -25, alpha -25, beta 0
b7b6 node 332, Score -25, alpha -25, beta 0
b7b5 node 333, Score -25, alpha -25, beta 0
c7c6 node 334, Score -20, alpha -25, beta 0
c7c5 node 336, Score -20, alpha -20, beta 0
e7e6 node 337, Score -5, alpha -20, beta 0
e7e5 node 339, Score -5, alpha -5, beta 0
f7f6 node 340, Score -5, alpha -5, beta 0
f7f5 node 341, Score -5, alpha -5, beta 0
g7g6 node 342, Score -5, alpha -5, beta 0
g7g5 node 343, Score -5, alpha -5, beta 0
h7h6 node 344, Score -5, alpha -5, beta 0
h7h5 node 345, Score -5, alpha -5, beta 0
b8d7 node 346, Score -5, alpha -5, beta 0
b8c6 node 347, Score 0, alpha -5, beta 0
	c1d2 node 347, Score 0, alpha 0, beta 30000
a7a6 node 349, Score 0, alpha -30000, beta 0
	a2a3 node 349, Score 0, alpha 0, beta 30000
a7a6 node 353, Score -30, alpha -30000, beta 0
a7a5 node 354, Score -30, alpha -30, beta 0
b7b6 node 355, Score -30, alpha -30, beta 0
b7b5 node 356, Score -30, alpha -30, beta 0
c7c6 node 359, Score -25, alpha -30, beta 0
c7c5 node 364, Score -25, alpha -25, beta 0
e7e6 node 367, Score -10, alpha -25, beta 0
e7e5 node 369, Score -10, alpha -10, beta 0
f7f6 node 370, Score -10, alpha -10, beta 0
f7f5 node 371, Score -10, alpha -10, beta 0
g7g6 node 372, Score -10, alpha -10, beta 0
g7g5 node 373, Score -10, alpha -10, beta 0
h7h6 node 374, Score -10, alpha -10, beta 0
h7h5 node 375, Score -10, alpha -10, beta 0
